旅行社,行程網頁,行程名稱,哪裡出發,跟團/自由行,成團人數,旅程天數,已成團/保證出團,將成團,交通方式,行程資訊,行程日期和價格
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006956,【客庄桐在】首座無水門水閘永和山水庫、山澗溪谷蓬萊溪、南庄老街一日,新北出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,巴士 大巴 43人座,第1天: 第1天 - 新北指定地點集合出發→蓬萊溪護魚步道→康濟吊橋+南庄老街美食探索(午餐敬請自理)→永和山水庫→四月安排桃園楊梅雅聞魅力博覽館/五月安排苗栗立康健康養生觀光工廠/或其他觀光工廠→返回新北指定地點 - 住宿地點: 未提供住宿,"{'5月/24': '保證出團 已報名 33 $499起', '5月/31': '可候補 已報名 30 $499起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006946,【沁涼滿月圓】漫步森林步道觀山谷飛瀑、三峽秘境白雞行修宮新北一日遊,台北出發,跟團遊,32人成行,未提供旅遊天數或者一日遊,01,01,巴士 大巴 43人座,第1天: 第1天 - 台北車站集合出發→三峽秘境～白雞行修宮、山腰登山步道、行修宮觀光商場美食(午餐敬請自理)→滿月圓國家森林遊樂區～森林步道、清涼飛瀑(門票自理)→鳳梨酥夢工廠或手信坊創意和菓子文化館→台北車站 - 住宿地點: 未提供住宿,"{'5月/31': '已報名 4 $499起', '6月/07': '已報名 1 $499起', '6月/08': '$599起', '6月/14': '$499起', '6月/16': '$499起', '6月/22': '已報名 2 $499起', '6月/28': '已報名 15 $499起', '7月/06': '已報名 6 $499起', '7月/12': '$499起', '7月/19': '$499起', '7月/20': '$499起', '7月/26': '$499起', '8月/02': '$499起', '8月/10': '$499起', '8月/16': '$499起', '8月/24': '$499起', '8月/30': '$499起', '9月/06': '$499起', '9月/14': '$499起', '9月/16': '$499起', '9月/20': '$499起', '9月/28': '$499起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006444,【西湖電動車賞翡翠稻浪】絶美海景好望角、過港隧道、媽祖巨石雕像一日遊,台中出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,巴士 大巴士 43人座,第1天: 第1天 - 台中出發→絕美海景步道～後龍崎頂好望角、漫步神隱少女的金色隧道群～過港隧道→白沙屯拱天宮廟前小吃→(遊客中心出發)賞西湖翡翠稻田:（三湖村）、環鄉小徑（四湖村）～沿途導覽介紹、定點導覽：宣王宮(雲梯書院)+黃金一路、自由走訪26.66米媽祖石雕巨像、西湖店仔街→融樂觀光工廠​→台中 - 住宿地點: 未提供住宿,{'5月/30': '將成團 已報名 17 $499起'}
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000007059,【最美山城鐵道】三貂嶺生態隧道、平溪老街、望古瀑布、靜安吊橋一日遊,台北出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,未提供交通方式,第1天: 第1天 - 台北出發→牡丹站：三貂嶺生態友善隧道→平溪支線火車體驗：三貂嶺站～平溪站→平溪老街　午餐自理→望古站：望古瀑布→十分站：十分老街～靜安吊橋→一太e衛浴觀光工廠→返回台北 - 住宿地點: 未提供住宿,"{'6月/11': '已報名 2 $499起', '6月/12': '將成團 已報名 20 $499起', '7月/19': '已報名 14 $499起', '7月/23': '已報名 4 $499起', '8月/09': '$499起', '8月/16': '$499起', '8月/29': '$499起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000007086,【海角秘境】椬梧小日月潭、喔熊藝術村、台灣國寶魚生態園區一日遊,台中出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,巴士 大巴士 43人座,第1天: 第1天 - 台中→雲林版小日月潭-椬梧滯洪池～環湖步道/浪漫水上高腳屋→口湖遊客中心～欣賞裝置藝術、享用週邊美食料理(午餐自理)→台灣鯛生態創意園區～含園區導覽、鯛料理試吃→全台第一幅雙面3D彩繪牆～喔熊藝術村→台中 - 住宿地點: 未提供住宿,"{'6月/06': '$499起', '6月/14': '$499起', '6月/16': '$599起', '6月/20': '$499起', '6月/28': '$499起', '7月/03': '$499起', '7月/11': '$499起', '7月/14': '$599起', '7月/17': '$499起', '7月/25': '$499起', '7月/31': '$499起', '8月/01': '$499起', '8月/07': '$499起', '8月/11': '$599起', '8月/15': '$499起', '8月/21': '$499起', '8月/29': '$499起', '9月/06': '$499起', '9月/12': '$499起', '9月/15': '$599起', '9月/20': '$499起', '9月/26': '$499起', '10月/04': '$499起', '10月/10': '$499起', '10月/13': '$599起', '10月/18': '$499起', '10月/24': '$499起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006986,【九族歡樂趣】九族文化村、雅聞峇里海岸觀光工廠一日遊,高雄出發,跟團遊,36人成行,未提供旅遊天數或者一日遊,01,01,未提供交通方式,第1天: 第1天 - 高雄/台南→九族文化村(門票自理)→雅聞峇里海岸觀光工廠→賦歸 - 住宿地點: 未提供住宿,"{'6月/05': '$599起', '6月/19': '$599起', '7月/10': '$599起', '7月/24': '$599起', '8月/14': '$599起', '8月/28': '$599起', '9月/11': '$599起', '9月/25': '$599起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000007079,【消暑趣】劍湖山水樂園.蘿莎玫瑰山莊.龍貓彩繪村一日遊,高雄出發,跟團遊,36人成行,未提供旅遊天數或者一日遊,01,01,未提供交通方式,第1天: 第1天 - 高雄/台南→劍湖山世界主題樂園→蘿莎玫瑰山莊→龍貓彩繪村→歸賦 - 住宿地點: 未提供住宿,"{'7月/03': '$599起', '7月/10': '$599起', '7月/24': '$599起', '8月/07': '$599起', '8月/14': '$599起', '8月/21': '$599起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000004629,【俯瞰山海城】基隆塔、信二防空洞、小敦煌佛手洞、白米甕砲台一日遊,台北出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,未提供交通方式,第1天: 第1天 - 台北出發→白米甕炮台，基隆港外全景一覽無遺→小敦煌～仙洞巖／佛手洞→基隆仁愛市場(午餐自理)→基隆新地標～基隆塔→走入歷史～信二防空洞→返回台北 - 住宿地點: 未提供住宿,"{'6月/05': '$599起', '7月/09': '$599起', '7月/12': '$599起', '7月/24': '$599起', '8月/07': '$599起', '8月/20': '$599起', '8月/23': '$599起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006919,【俯瞰山海城】基隆塔、信二防空洞、小敦煌佛手洞、白米甕砲台一日遊,新北出發,跟團遊,30人成行,未提供旅遊天數或者一日遊,01,01,未提供交通方式,第1天: 第1天 - 新北出發→白米甕炮台，基隆港外全景一覽無遺→小敦煌～仙洞巖／佛手洞→基隆仁愛市場(午餐自理)→基隆新地標～基隆塔→走入歷史～信二防空洞→返回新北 - 住宿地點: 未提供住宿,"{'6月/04': '$599起', '7月/10': '$599起', '7月/11': '$599起', '7月/23': '$599起', '7月/26': '$599起', '8月/06': '$599起', '8月/20': '$599起', '8月/21': '$599起'}"
東南旅遊,https://trip.settour.com.tw/taiwan/product/GRT0000006985,【香藝朝鉅】新港香藝文化園區、北港朝天宮、台鉅美妝觀光工廠一日遊,高雄出發,跟團遊,36人成行,未提供旅遊天數或者一日遊,01,01,巴士 大型遊覽巴士 43人座,第1天: 第1天 - 高雄/台南→新港香藝文化園區→北港老街→北港朝天宮→台鉅美妝觀光工廠→賦歸 - 住宿地點: 未提供住宿,"{'6月/06': '$599起', '6月/20': '$599起', '7月/04': '$599起', '7月/18': '$599起', '8月/08': '$599起', '8月/22': '已報名 1 $599起', '9月/12': '$599起', '9月/26': '$599起'}"
